loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2024-04-18T12:49:10.685+02:00,12947.65442804167,-0.01678466796875,-0.079864501953125,-0.9708404541015625,12947.60453904167,0.0112754712215563,-0.008904443867234116,0.05614716786176796,-0.06054352223873138,0.7375842332839966,0.01562968641519547,-0.02220712415874004,-0.028889000415802,-0.04607951641082764,XArbitraryZVertical,0.02809426100059249,-0.004292133696423488,0.005510457127378795,0.9995809295040827,-0.008890294469892979,-0.05611767247319221,-0.9983845949172974,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.693+02:00,12947.68935004167,0.0079345703125,-0.0553131103515625,-1.022430419921875,12947.66440604167,0.01033464562283658,0.004077009566212059,0.05594929635974352,-0.006771149579435587,-0.02261465415358543,-0.03342113643884659,-0.02085529267787933,-0.02394434809684753,0.02758651971817017,XArbitraryZVertical,0.02796003654895451,0.002182212630786677,0.005222285123706826,0.9995930916456645,0.004070618655532598,-0.05592011287808418,-0.9984269738197327,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.695+02:00,12947.72427204167,0.017059326171875,-0.069488525390625,-1.002853393554688,12947.66440604167,0.01033464562283658,0.004077009566212059,0.05594929635974352,-0.006771149579435587,-0.02261465415358543,-0.03342113643884659,-0.02085529267787933,-0.02394434809684753,0.02758651971817017,XArbitraryZVertical,0.02796003654895451,0.002182212630786677,0.005222285123706826,0.9995930916456645,0.004070618655532598,-0.05592011287808418,-0.9984269738197327,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.709+02:00,12947.75919504167,0.0098114013671875,-0.069610595703125,-0.9911956787109375,12947.72427204167,0.009482657283119495,0.007767197854541327,0.05679121668132702,0.008221693336963654,0.07652130722999573,0.0146184079349041,0.00632925983518362,-0.004518561065196991,-0.002451002597808838,XArbitraryZVertical,0.02837285274505738,0.004016593141505655,0.004849624475361909,0.9995775998352369,0.007754597812891006,-0.05676069483160973,-0.9983577132225037,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.738+02:00,12947.79411704167,0.0077362060546875,-0.0660552978515625,-1.020538330078125,12947.78413904167,0.009547913515777284,0.007952726170628041,0.05722744201403864,-0.02529085986316204,0.05573653057217598,-0.006946805864572525,-0.0007985159754753113,-0.01664102822542191,-0.003286063671112061,XArbitraryZVertical,0.02859028804932477,0.00411125984854452,0.004885707907202188,0.9995708637957056,0.007939623668789864,-0.05719621106982231,-0.9983313679695129,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.773+02:00,12947.82904004167,0.0088043212890625,-0.0746612548828125,-1.007888793945312,12947.78413904167,0.009547913515777284,0.007952726170628041,0.05722744201403864,-0.02529085986316204,0.05573653057217598,-0.006946805864572525,-0.0007985159754753113,-0.01664102822542191,-0.003286063671112061,XArbitraryZVertical,0.02859028804932477,0.00411125984854452,0.004885707907202188,0.9995708637957056,0.007939623668789864,-0.05719621106982231,-0.9983313679695129,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.808+02:00,12947.863961,0.009002685546875,-0.0777740478515625,-0.9930419921875,12947.84400604167,0.01039299256894739,0.009902001302685783,0.0587562481048759,0.02054613642394543,0.03875279426574707,0.0147580336779356,-0.004132193513214588,-0.02517033368349075,-3.510713577270508e-05,XArbitraryZVertical,0.02934742601804001,0.00510141617917873,0.0053395947197167,0.9995419629085185,0.009884752333164215,-0.05872244760394096,-0.9982253909111023,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.843+02:00,12947.898883,0.0066375732421875,-0.076019287109375,-1.00213623046875,12947.84400604167,0.01039299256894739,0.009902001302685783,0.0587562481048759,0.02054613642394543,0.03875279426574707,0.0147580336779356,-0.004132193513214588,-0.02517033368349075,-3.510713577270508e-05,XArbitraryZVertical,0.02934742601804001,0.00510141617917873,0.0053395947197167,0.9995419629085185,0.009884752333164215,-0.05872244760394096,-0.9982253909111023,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.878+02:00,12947.933806,0.009918212890625,-0.0604248046875,-1.034271240234375,12947.903872,0.01025225811365764,0.01190020355605582,0.06055736221510745,-0.0257902480661869,0.009734250605106354,-0.009319491684436798,-0.005866151303052902,-0.01995445415377617,-0.009304225444793701,XArbitraryZVertical,0.03024263234933574,0.006102446082205248,0.005303796176975568,0.9995099540605348,0.01187810953706503,-0.06052035465836525,-0.9980962872505188,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.913+02:00,12947.968728,0.00506591796875,-0.0966949462890625,-0.9857177734375,12947.963739,0.01117375586327857,0.0140734102058556,0.05991897133411561,0.005768254864960909,0.06946273148059845,0.008264637552201748,-0.008920742198824883,-0.02523035928606987,-0.004136502742767334,XArbitraryZVertical,0.0299144984091547,0.007200729106603029,0.005794982686825825,0.9995097762584398,0.01404769066721201,-0.05988312512636185,-0.9981065392494202,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.962+02:00,12948.003651,0.0150299072265625,-0.070068359375,-1.007110595703125,12947.963739,0.01117375586327857,0.0140734102058556,0.05991897133411561,0.005768254864960909,0.06946273148059845,0.008264637552201748,-0.008920742198824883,-0.02523035928606987,-0.004136502742767334,XArbitraryZVertical,0.0299144984091547,0.007200729106603029,0.005794982686825825,0.9995097762584398,0.01404769066721201,-0.05988312512636185,-0.9981065392494202,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:10.983+02:00,12948.038573,0.0243682861328125,-0.060882568359375,-1.020584106445312,12948.023606,0.0106691270689317,0.01364725057188915,0.06046076077172485,0.01045035943388939,0.004573138430714607,0.003734448458999395,0.003086477518081665,-0.01059043034911156,-0.01904052495956421,XArbitraryZVertical,0.03018825864173949,0.006981594436468826,0.005538221611874367,0.9995044966136126,0.01362189184874296,-0.06042393296957016,-0.9980798363685608,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.018+02:00,12948.073495,0.006683349609375,-0.089813232421875,-1.000961303710938,12948.023606,0.0106691270689317,0.01364725057188915,0.06046076077172485,0.01045035943388939,0.004573138430714607,0.003734448458999395,0.003086477518081665,-0.01059043034911156,-0.01904052495956421,XArbitraryZVertical,0.03018825864173949,0.006981594436468826,0.005538221611874367,0.9995044966136126,0.01362189184874296,-0.06042393296957016,-0.9980798363685608,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.053+02:00,12948.108418,0.009613037109375,-0.0690155029296875,-1.009750366210938,12948.083473,0.01177000042830836,0.01508128271061621,0.06163235549495268,0.03551505506038666,-0.00559633132070303,-0.009535398334264755,-0.008368732407689095,-0.02821984514594078,-0.002973496913909912,XArbitraryZVertical,0.03076553556372025,0.007718177409053536,0.006114335554115825,0.9994781469385726,0.01505207736045122,-0.06159334257245064,-0.9979878067970276,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.088+02:00,12948.14334,0.0226287841796875,-0.067413330078125,-1.01019287109375,12948.083473,0.01177000042830836,0.01508128271061621,0.06163235549495268,0.03551505506038666,-0.00559633132070303,-0.009535398334264755,-0.008368732407689095,-0.02821984514594078,-0.002973496913909912,XArbitraryZVertical,0.03076553556372025,0.007718177409053536,0.006114335554115825,0.9994781469385726,0.01505207736045122,-0.06159334257245064,-0.9979878067970276,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.122+02:00,12948.178262,0.0129547119140625,-0.088470458984375,-1.005081176757812,12948.14334,0.01140223320380032,0.01549614042332209,0.06294443374406498,-0.01799473166465759,0.02039583586156368,0.01613423973321915,0.004173223860561848,-0.009286411106586456,-0.01763361692428589,XArbitraryZVertical,0.0314214145946022,0.007923420492596809,0.005941893530532271,0.9994571889842472,0.01546483393758535,-0.06290287524461746,-0.9978998303413391,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.157+02:00,12948.213185,0.0117645263671875,-0.0781402587890625,-1.000320434570312,12948.203207,0.01191763261448134,0.01520315810075861,0.06412327418992776,0.001101420726627111,0.001935962587594986,0.0007663932628929615,-0.003147407434880733,-0.02223958820104599,-0.00539010763168335,XArbitraryZVertical,0.03200937384263557,0.007788473599640624,0.006199216610997448,0.9994380872508832,0.01517132855951786,-0.06407933682203293,-0.9978294968605042,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.192+02:00,12948.248107,0.0151214599609375,-0.0777435302734375,-1.004364013671875,12948.203207,0.01191763261448134,0.01520315810075861,0.06412327418992776,0.001101420726627111,0.001935962587594986,0.0007663932628929615,-0.003147407434880733,-0.02223958820104599,-0.00539010763168335,XArbitraryZVertical,0.03200937384263557,0.007788473599640624,0.006199216610997448,0.9994380872508832,0.01517132855951786,-0.06407933682203293,-0.9978294968605042,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.227+02:00,12948.28303,0.0127410888671875,-0.0828857421875,-1.010574340820312,12948.263074,0.01261585044674424,0.01507938493432432,0.06459463264077428,-0.01956985890865326,-0.02571187168359756,0.01147876866161823,0.0004555573686957359,-0.0198771059513092,-0.01568770408630371,XArbitraryZVertical,0.03224260503724968,0.007739225069665139,0.006547876442363378,0.9994287237880657,0.01504736673086882,-0.06454972177743912,-0.9978010654449463,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.262+02:00,12948.317952,0.0052490234375,-0.0915985107421875,-0.99664306640625,12948.263074,0.01261585044674424,0.01507938493432432,0.06459463264077428,-0.01956985890865326,-0.02571187168359756,0.01147876866161823,0.0004555573686957359,-0.0198771059513092,-0.01568770408630371,XArbitraryZVertical,0.03224260503724968,0.007739225069665139,0.006547876442363378,0.9994287237880657,0.01504736673086882,-0.06454972177743912,-0.9978010654449463,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.298+02:00,12948.352874,0.0211334228515625,-0.07159423828125,-1.017059326171875,12948.322941,0.01263572079950766,0.01596240906824914,0.06376308585342265,-0.01147651113569736,0.01410360261797905,-0.02021280862390995,-0.009978370741009712,-0.03167802095413208,0.001426517963409424,XArbitraryZVertical,0.03182409276495997,0.008178285935765807,0.006568808828328701,0.9994384545656738,0.01592929475009441,-0.06371989101171494,-0.9978407025337219,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.332+02:00,12948.387797,0.0174102783203125,-0.0780792236328125,-1.00286865234375,12948.382808,0.01230455997690131,0.01625725141389672,0.06384133935317214,-0.02353881113231182,0.01609844341874123,-0.02066767774522305,-0.004687780514359474,-0.02688495814800262,-0.004167914390563965,XArbitraryZVertical,0.0318636075300405,0.008320585409922254,0.006408323294701861,0.9994370473054255,0.01622341759502888,-0.06379798054695129,-0.9978309273719788,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.367+02:00,12948.422719,0.015533447265625,-0.067535400390625,-1.023345947265625,12948.382808,0.01230455997690131,0.01625725141389672,0.06384133935317214,-0.02353881113231182,0.01609844341874123,-0.02066767774522305,-0.004687780514359474,-0.02688495814800262,-0.004167914390563965,XArbitraryZVertical,0.0318636075300405,0.008320585409922254,0.006408323294701861,0.9994370473054255,0.01622341759502888,-0.06379798054695129,-0.9978309273719788,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.402+02:00,12948.457642,0.015869140625,-0.091827392578125,-1.006668090820312,12948.442675,0.01241582060259742,0.01726443928420267,0.06359403194553137,0.01123998686671257,0.007532024756073952,0.01218861527740955,-0.001741018146276474,-0.01028606295585632,-0.0130496621131897,XArbitraryZVertical,0.03173630049788619,0.008824933747722577,0.006478925012596948,0.9994363385503744,0.01722868531942368,-0.0635511726140976,-0.9978298544883728,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.445+02:00,12948.492564,0.0123748779296875,-0.0845794677734375,-1.011886596679688,12948.442675,0.01241582060259742,0.01726443928420267,0.06359403194553137,0.01123998686671257,0.007532024756073952,0.01218861527740955,-0.001741018146276474,-0.01028606295585632,-0.0130496621131897,XArbitraryZVertical,0.03173630049788619,0.008824933747722577,0.006478925012596948,0.9994363385503744,0.01722868531942368,-0.0635511726140976,-0.9978298544883728,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.472+02:00,12948.527486,0.0196533203125,-0.0699005126953125,-1.007858276367188,12948.502542,0.01218799024888005,0.0170199362627561,0.06453489445026937,0.02214856073260307,-0.003990331664681435,-0.01802106760442257,-0.004608813673257828,-0.02008931338787079,-0.01411277055740356,XArbitraryZVertical,0.03220824953566066,0.008701873009522652,0.006365103634295048,0.9994230165707058,0.01698368601500988,-0.06449010968208313,-0.9977738261222839,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.507+02:00,12948.562409,0.014404296875,-0.0843048095703125,-0.9940338134765625,12948.502542,0.01218799024888005,0.0170199362627561,0.06453489445026937,0.02214856073260307,-0.003990331664681435,-0.01802106760442257,-0.004608813673257828,-0.02008931338787079,-0.01411277055740356,XArbitraryZVertical,0.03220824953566066,0.008701873009522652,0.006365103634295048,0.9994230165707058,0.01698368601500988,-0.06449010968208313,-0.9977738261222839,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
2024-04-18T12:49:11.542+02:00,12948.597331,0.0236663818359375,-0.0628814697265625,-1.01123046875,12948.562409,0.01219525625204373,0.01725396127759492,0.06397431736778328,0.02071067504584789,-0.01769166812300682,-0.01215286739170551,0.0003145318478345871,-0.02864433825016022,-0.00106501579284668,XArbitraryZVertical,0.03192734017286022,0.008817303455544625,0.006370140661570885,0.9994310978462897,0.01721781119704247,-0.0639306902885437,-0.9978057742118835,0,0,0,-1,-1,12946.5868005,unknown,2,2024-04-18T12:49:09.530+02:00,2024-04-17T14:37:41.930+02:00,4191,1.185061,0,0,3466.396,19,7,2024-04-18T12:07:18.770+02:00,735130149.5892447,0,-54.78999,100.9387
