loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2024-04-09T12:44:46.093+02:00,1,1712659484.998698,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.37040363000277,4.739716911763085,-9999,1712659486.089909,34.14453125,100.894401550293,35.40141296386719,194.5453186035156,190.3936309814453,14.13029766082764,84240.72878866667,-0.0176544189453125,-0.0193939208984375,-0.9938201904296875,84240.69889466667,-0.002309493254870176,-0.001438106992281973,-0.00102371908724308,84240.67296466668,521.2796630859375,-1.065628051757812,-207.1754302978516,84240.70013966667,-0.5263012253738527,-0.01640195815996757,0.02352246751138093,-0.002058792393654585,-0.0008592426893301308,0.0009031275985762477,-0.000494733452796936,-0.002342525869607925,0.005845010280609131,XArbitraryCorrectedZVertical,0.009222611780095499,-0.01097722948310086,-0.2601903558838752,0.9654510194839666,-0.01639668643474579,-0.02352029830217361,-0.9995889067649841,34.16754150390625,100.8895034790039,35.36538696289062,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,0,,,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.125+02:00,2,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.109903,34.165771484375,100.9026107788086,35.29899597167969,194.5452117919922,190.3935241699219,14.13029670715332,84240.76241866667,-0.0174407958984375,-0.0262451171875,-0.994232177734375,84240.73252466667,-0.0002769687562249601,-0.0003496730350889266,-0.001862082164734602,84240.73284966667,521.2413330078125,-1.123855590820312,-207.2409362792969,84240.73501666667,-0.5262951456008439,-0.01639114095051527,0.0235203363886925,-8.097861427813768e-05,-0.0008925177389755845,0.0005411101155914366,-0.001161674037575722,0.003758858889341354,0.005219578742980957,XArbitraryCorrectedZVertical,0.009223023754561528,-0.01097170330980283,-0.2601873754253998,0.9654518380811719,-0.0163858737796545,-0.02351816743612289,-0.9995890855789185,34.14312744140625,100.8932952880859,35.33399963378906,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.160+02:00,3,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.149675,34.011474609375,100.8043441772461,35.35272216796875,194.5441131591797,190.3924255371094,14.13029670715332,84240.79604966668,-0.0148773193359375,-0.02471923828125,-0.9938201904296875,84240.76615566667,-0.0008335694437846541,-0.002033589873462915,-0.001380050089210272,84240.79272866667,521.112548828125,-1.219573974609375,-207.1882781982422,84240.76989266668,-0.5262846179583371,-0.01640366539024964,0.02351908532830917,-0.0001727357739582658,4.675262607634068e-05,-0.0005970773054286838,-0.0006456151604652405,-0.00222383625805378,0.006791055202484131,XArbitraryCorrectedZVertical,0.009220848557818224,-0.0109775393542804,-0.2601823676303758,0.9654530525767968,-0.01639839261770248,-0.02351691760122776,-0.9995889663696289,33.9813232421875,100.8284301757812,35.23687744140625,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.194+02:00,4,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.189561,33.92303466796875,100.86865234375,35.56094360351562,194.5435333251953,190.391845703125,14.130295753479,84240.82968066668,-0.0153045654296875,-0.021575927734375,-0.9933013916015625,84240.79978666667,-0.001097488682717085,-0.001080178073607385,-0.002280464861541986,84240.79272866667,521.112548828125,-1.219573974609375,-207.1882781982422,84240.80476966668,-0.5262736605535687,-0.01641099813106193,0.02350671390394519,-0.0002424311824142933,0.0005437239888124168,0.001084748189896345,0.000536646693944931,-0.0009849835187196732,0.005112767219543457,XArbitraryCorrectedZVertical,0.009213982282427991,-0.01097941956859423,-0.260177071054708,0.9654545740573383,-0.01640572771430016,-0.02350454963743687,-0.9995890855789185,34.0738525390625,100.8270263671875,35.42691040039062,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.224+02:00,5,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.209544,33.91876220703125,100.9666137695312,35.53984069824219,194.5436553955078,190.3919677734375,14.130295753479,84240.86331166668,-0.018341064453125,-0.0253143310546875,-0.9950408935546875,84240.83341766667,-0.0009619337506592274,-0.001219195080921054,-0.001125185517594218,84240.85260866667,521.07373046875,-1.045089721679688,-207.0917816162109,84240.83964566667,-0.5262675929629942,-0.01642853689948075,0.02350469916858204,0.002010335680097342,-0.001381466398015618,0.0001856329618021846,0.001622293144464493,-0.0005444940179586411,0.005249857902526855,XArbitraryCorrectedZVertical,0.009210761241331142,-0.01098759546488868,-0.2601742079237188,0.96545532943836,-0.01642326079308987,-0.0235025342553854,-0.9995888471603394,33.91876220703125,100.9666137695312,35.53984069824219,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.259+02:00,6,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.249452,33.9520263671875,100.9135360717773,35.60992431640625,194.5425262451172,190.3908386230469,14.13029479980469,84240.89694266667,-0.01727294921875,-0.0223541259765625,-0.9938201904296875,84240.86704866667,-0.001972603378817439,-0.001847701147198677,-0.0009265137487091124,84240.85260866667,521.07373046875,-1.045089721679688,-207.0917816162109,84240.87452166667,-0.5262488684530199,-0.01645323914402422,0.02350586729616936,0.0001623860443942249,0.0003726129943970591,0.001382477697916329,-0.002106675878167152,-0.000436512753367424,0.005493581295013428,XArbitraryCorrectedZVertical,0.009208215031292521,-0.01099958698269928,-0.2601653061882406,0.9654575216407628,-0.01644795201718807,-0.02350370213389397,-0.9995884299278259,33.925048828125,100.9483261108398,35.50552368164062,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.295+02:00,7,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.28926,34.01983642578125,100.8668060302734,35.57878112792969,194.5423889160156,190.3907012939453,14.13029479980469,84240.93057266668,-0.0150909423828125,-0.0232696533203125,-0.993133544921875,84240.90067866667,-0.001046089688315988,-7.456851108145202e-06,-0.001463939668610692,84240.91248966668,521.1680908203125,-1.146530151367188,-206.8994598388672,84240.90939866667,-0.5262546209363113,-0.01644576981276716,0.02349579302265026,-0.0008858813671395183,0.0003371294005773962,-0.0004337162245064974,-0.0002678260207176208,-0.000751761719584465,0.00549393892288208,XArbitraryCorrectedZVertical,0.009204291214479177,-0.01099469642839057,-0.260167997868554,0.9654570100273679,-0.01644049026072025,-0.02349363081157207,-0.9995887875556946,34.075439453125,100.8766860961914,35.59757995605469,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.329+02:00,8,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.309158,33.99249267578125,100.9611358642578,35.52058410644531,194.5416717529297,190.3899841308594,14.13029479980469,84240.96420466667,-0.0185089111328125,-0.024322509765625,-0.9943389892578125,84240.93431066668,-0.0002399508084636182,0.0005320995696820319,0.0003374225052539259,84240.91248966668,521.1680908203125,-1.146530151367188,-206.8994598388672,84240.94427466668,-0.5262341034955762,-0.01644734379712156,0.02349714296810659,-0.000333377392962575,-0.001465287641622126,-0.001012893510051072,0.0009544510394334793,0.0005465857684612274,0.005295515060424805,XArbitraryCorrectedZVertical,0.009204851356476494,-0.01099553898606683,-0.260158128544931,0.9654595418864964,-0.0164420623332262,-0.02349498122930527,-0.9995887279510498,33.99249267578125,100.9611358642578,35.52058410644531,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.359+02:00,9,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.348993,34.0911865234375,100.8720626831055,35.22525024414062,194.5408782958984,190.3891906738281,14.13029479980469,84240.99783566667,-0.0185089111328125,-0.0200958251953125,-0.99420166015625,84240.96794166668,-0.00202320353128016,-0.001570466090925038,-0.001525458646938205,84240.97237566668,521.164306640625,-1.206268310546875,-207.1484527587891,84240.97915166667,-0.5262151631152596,-0.01645816229464189,0.02347650719890871,-0.0009012388763949275,0.0001673773513175547,-0.001512907329015434,-0.003810727968811989,-0.0001454316079616547,0.005448400974273682,XArbitraryCorrectedZVertical,0.009193586263836618,-0.01099799211559443,-0.2601489867836346,0.9654620753607136,-0.01645288430154324,-0.02347435057163239,-0.9995890259742737,34.0911865234375,100.8720626831055,35.22525024414062,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84237.214735,0,0.8878174,100.1736,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
2024-04-09T12:44:46.395+02:00,10,1712659485.998672,53.22963507999695,10.40012310577532,35.5759,0,0.3079722,-1,-1,3.371909222878616,4.738645927420086,-9999,1712659486.388867,34.23248291015625,100.8133163452148,35.04762268066406,194.5416870117188,190.3899993896484,14.13029479980469,84241.03146566667,-0.01434326171875,-0.0251617431640625,-0.9933929443359375,84241.00157166667,0.000494016392622143,0.0004948153509758413,-0.0008458199445158243,84241.03225066667,521.30517578125,-1.260040283203125,-207.4630126953125,84241.01402766668,-0.5262293806843423,-0.01643965361021684,0.02346624182178859,0.0002233923878520727,0.000732232874725014,-0.0005480587715283036,-0.0002891868352890015,0.0001647397875785828,0.00532686710357666,XArbitraryCorrectedZVertical,0.00919095972869757,-0.01098778732960745,-0.2601557240269224,0.9654604740690508,-0.01643438637256622,-0.02346408739686012,-0.9995895624160767,34.231201171875,100.846061706543,35.02323913574219,-1,2,84239.66381187501,stationary,2,2024-04-09T12:44:45.092+02:00,null,0,0,0,0,0,0,0,null,84238.277172,0,0.7662735,100.1751,1712659486.101837,10.233.19.0,192.0.0.2,my_iOS_device,0,5,1712659486.080938,1,0.85,0
