loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2024-04-17T13:14:04.229+02:00,75.93100625000001,-0.0512237548828125,-0.052459716796875,-0.99920654296875,75.89608425,0.008096880083591589,-0.04501578249885137,0.05939726965093627,0.05550771206617355,-0.009778067469596863,0.04134929552674294,0.009688705205917358,0.01183147355914116,-0.01408153772354126,XArbitraryZVertical,0.02977757862811393,-0.0223756974708282,0.003377325295877784,0.9993003565776446,-0.04492122307419777,-0.05936234816908836,-0.9972252249717712,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.267+02:00,75.96592925,-0.0561981201171875,-0.04168701171875,-1.02191162109375,75.95595125,0.01195516478834933,-0.04561134618839114,0.05948435716173524,0.02780870720744133,-0.002511556260287762,0.05847384035587311,0.001691676676273346,0.009232860058546066,-0.01150435209274292,XArbitraryZVertical,0.02986577933107011,-0.02261549074990623,0.005295229894548068,0.9992840192545286,-0.04551488906145096,-0.05944928526878357,-0.9971931576728821,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.299+02:00,76.00085125000001,-0.0518341064453125,-0.0606231689453125,-1.0015869140625,75.95595125,0.01195516478834933,-0.04561134618839114,0.05948435716173524,0.02780870720744133,-0.002511556260287762,0.05847384035587311,0.001691676676273346,0.009232860058546066,-0.01150435209274292,XArbitraryZVertical,0.02986577933107011,-0.02261549074990623,0.005295229894548068,0.9992840192545286,-0.04551488906145096,-0.05944928526878357,-0.9971931576728821,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.334+02:00,76.03577425,-0.037872314453125,-0.0863037109375,-0.98583984375,76.01581825000001,0.01344546670162674,-0.0442440596838776,0.0624438179215905,0.01831160858273506,0.01597823761403561,-0.01973254606127739,-0.005966410040855408,-0.0002490915358066559,0.003147304058074951,XArbitraryZVertical,0.03135712772397114,-0.02189913558691114,0.006027254297827877,0.9992501422666427,-0.0441434234380722,-0.06240324676036835,-0.9970743060112,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.368+02:00,76.07069625000001,-0.0430908203125,-0.060821533203125,-1.006988525390625,76.01581825000001,0.01344546670162674,-0.0442440596838776,0.0624438179215905,0.01831160858273506,0.01597823761403561,-0.01973254606127739,-0.005966410040855408,-0.0002490915358066559,0.003147304058074951,XArbitraryZVertical,0.03135712772397114,-0.02189913558691114,0.006027254297827877,0.9992501422666427,-0.0441434234380722,-0.06240324676036835,-0.9970743060112,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.403+02:00,76.10561925,-0.0504302978515625,-0.0611724853515625,-1.007781982421875,76.07568525000001,0.0130845755776536,-0.04476774923680172,0.05910386375798545,-0.0246097594499588,-0.003923944197595119,0.02001463808119297,0.00346069410443306,-0.005688592791557312,-0.007278144359588623,XArbitraryZVertical,0.02968596021172432,-0.02217849414430174,0.005876425213087729,0.9992959456657402,-0.04467465355992317,-0.05906945839524269,-0.9972537159919739,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.438+02:00,76.14054125,-0.05023193359375,-0.0659332275390625,-0.9977874755859375,76.13555225,0.01378630560889505,-0.04506526605117397,0.06044160157453696,-0.02600170485675335,-0.004464945755898952,0.00147960742469877,0.001403938978910446,-0.003544528037309647,-0.004792571067810059,XArbitraryZVertical,0.03036304602187032,-0.02231167138507041,0.006207424560472932,0.9992706848084466,-0.04496775195002556,-0.06040480732917786,-0.9971605539321899,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.473+02:00,76.17546425,-0.043182373046875,-0.0536346435546875,-1.0096435546875,76.13555225,0.01378630560889505,-0.04506526605117397,0.06044160157453696,-0.02600170485675335,-0.004464945755898952,0.00147960742469877,0.001403938978910446,-0.003544528037309647,-0.004792571067810059,XArbitraryZVertical,0.03036304602187032,-0.02231167138507041,0.006207424560472932,0.9992706848084466,-0.04496775195002556,-0.06040480732917786,-0.9971605539321899,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.508+02:00,76.21038625,-0.0422821044921875,-0.06634521484375,-1.002639770507812,76.19542025,0.0132131772205996,-0.04509462464113896,0.05949168664732672,0.003979362547397614,0.01026305742561817,-0.004419979173690081,-0.0063919797539711,0.009667422622442245,-0.01341927051544189,XArbitraryZVertical,0.02988212947571514,-0.02233849834341787,0.005931420994680081,0.9992861823324745,-0.04499959200620651,-0.05945660173892975,-0.9972161054611206,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
2024-04-17T13:14:04.543+02:00,76.24530925000001,-0.0445556640625,-0.0634613037109375,-1.002670288085938,76.19542025,0.0132131772205996,-0.04509462464113896,0.05949168664732672,0.003979362547397614,0.01026305742561817,-0.004419979173690081,-0.0063919797539711,0.009667422622442245,-0.01341927051544189,XArbitraryZVertical,0.02988212947571514,-0.02233849834341787,0.005931420994680081,0.9992861823324745,-0.04499959200620651,-0.05945660173892975,-0.9972161054611206,0,0,0,-1,-1,54.62664804166667,unknown,2,2024-04-17T13:13:42.924+02:00,null,0,0,0,0,0,0,0,null,0,0,0,0
