loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2024-05-28T12:34:14.378+02:00,21767.540292625,-0.1291656494140625,-0.3813018798828125,-0.8670806884765625
2024-05-28T12:34:14.380+02:00,21767.550254625,-0.0806884765625,-0.3400421142578125,-0.891082763671875
2024-05-28T12:34:14.390+02:00,21767.560216625,-0.079498291015625,-0.231842041015625,-0.934844970703125
2024-05-28T12:34:14.398+02:00,21767.570179625,-0.081268310546875,-0.1232757568359375,-1.015670776367188
2024-05-28T12:34:14.408+02:00,21767.580141625,-0.083404541015625,-0.0344696044921875,-1.074600219726562
2024-05-28T12:34:14.418+02:00,21767.590103625,-0.0914459228515625,-0.0130767822265625,-1.099929809570312
2024-05-28T12:34:14.428+02:00,21767.600065625,-0.0934906005859375,-0.07366943359375,-1.07391357421875
2024-05-28T12:34:14.438+02:00,21767.610028625,-0.0908203125,-0.1573486328125,-1.020858764648438
2024-05-28T12:34:14.448+02:00,21767.619990625,-0.086578369140625,-0.2104949951171875,-0.985748291015625
2024-05-28T12:34:14.458+02:00,21767.629952625,-0.0764312744140625,-0.2196502685546875,-0.9751129150390625
2024-05-28T12:34:14.468+02:00,21767.639914625,-0.0609893798828125,-0.1892547607421875,-0.9791259765625
2024-05-28T12:34:14.478+02:00,21767.649877625,-0.05322265625,-0.146331787109375,-0.9998016357421875
2024-05-28T12:34:14.488+02:00,21767.659839625,-0.0540618896484375,-0.10888671875,-1.021697998046875
2024-05-28T12:34:14.498+02:00,21767.669801625,-0.0622711181640625,-0.091552734375,-1.027572631835938
2024-05-28T12:34:14.508+02:00,21767.679763625,-0.070098876953125,-0.097076416015625,-1.007644653320312
2024-05-28T12:34:14.518+02:00,21767.689726625,-0.0740203857421875,-0.1246337890625,-0.9769439697265625
2024-05-28T12:34:14.528+02:00,21767.699688625,-0.0776214599609375,-0.1553955078125,-0.95233154296875
2024-05-28T12:34:14.538+02:00,21767.709650625,-0.0845184326171875,-0.1735687255859375,-0.9380645751953125
2024-05-28T12:34:14.548+02:00,21767.719613625,-0.0890045166015625,-0.1768035888671875,-0.936676025390625
2024-05-28T12:34:14.558+02:00,21767.729575625,-0.083953857421875,-0.1702117919921875,-0.9476165771484375
2024-05-28T12:34:14.567+02:00,21767.73953725,-0.078460693359375,-0.15533447265625,-0.9614105224609375
2024-05-28T12:34:14.577+02:00,21767.74949925,-0.0775604248046875,-0.1328125,-0.976959228515625
2024-05-28T12:34:14.590+02:00,21767.75946225,-0.0796966552734375,-0.1130828857421875,-0.9896392822265625
2024-05-28T12:34:14.598+02:00,21767.76942425,-0.0801544189453125,-0.095367431640625,-0.9958648681640625
2024-05-28T12:34:14.611+02:00,21767.77938625,-0.0791015625,-0.087890625,-0.9901885986328125
2024-05-28T12:34:14.617+02:00,21767.78934825,-0.079986572265625,-0.10101318359375,-0.9780120849609375
2024-05-28T12:34:14.628+02:00,21767.79931125,-0.084869384765625,-0.1226043701171875,-0.96661376953125
2024-05-28T12:34:14.637+02:00,21767.80927325,-0.0837860107421875,-0.1377410888671875,-0.958587646484375
2024-05-28T12:34:14.647+02:00,21767.81923525,-0.0845489501953125,-0.1413421630859375,-0.952392578125
2024-05-28T12:34:14.657+02:00,21767.82919825,-0.0856475830078125,-0.1392822265625,-0.9601898193359375
2024-05-28T12:34:14.667+02:00,21767.83916025,-0.0859222412109375,-0.136474609375,-0.973297119140625
2024-05-28T12:34:14.685+02:00,21767.84912225,-0.08209228515625,-0.13140869140625,-0.981109619140625
2024-05-28T12:34:14.687+02:00,21767.85908425,-0.075897216796875,-0.129119873046875,-0.9857177734375
2024-05-28T12:34:14.697+02:00,21767.86904725,-0.072357177734375,-0.1254425048828125,-0.97662353515625
2024-05-28T12:34:14.707+02:00,21767.87900925,-0.0743408203125,-0.1278076171875,-0.9710693359375
2024-05-28T12:34:14.717+02:00,21767.88897125,-0.0751495361328125,-0.1342315673828125,-0.9738311767578125
2024-05-28T12:34:14.727+02:00,21767.89893325,-0.0774383544921875,-0.1345367431640625,-0.97454833984375
2024-05-28T12:34:14.737+02:00,21767.90889625,-0.0765533447265625,-0.1350555419921875,-0.98419189453125
2024-05-28T12:34:14.747+02:00,21767.91885825,-0.07244873046875,-0.130157470703125,-0.9881439208984375
2024-05-28T12:34:14.757+02:00,21767.92882025,-0.070648193359375,-0.1157379150390625,-0.984375
2024-05-28T12:34:14.767+02:00,21767.93878325,-0.0768890380859375,-0.11566162109375,-0.990264892578125
2024-05-28T12:34:14.777+02:00,21767.94874525,-0.0803070068359375,-0.128173828125,-0.994842529296875
2024-05-28T12:34:14.787+02:00,21767.95870725,-0.0802001953125,-0.142730712890625,-0.992279052734375
2024-05-28T12:34:14.796+02:00,21767.96866925,-0.078948974609375,-0.15802001953125,-0.9905548095703125
2024-05-28T12:34:14.807+02:00,21767.97863225,-0.0755615234375,-0.1645355224609375,-0.993804931640625
2024-05-28T12:34:14.817+02:00,21767.98859425,-0.0736846923828125,-0.1524200439453125,-0.9864959716796875
2024-05-28T12:34:14.826+02:00,21767.99855625,-0.0784454345703125,-0.14007568359375,-0.9918212890625
